english_name,korean_name,initial_count,url,date_accessed
dongguk,동국대학교,608,https://gall.dcinside.com/board/view/?id=dongguk&no=128215&page=1,2025-05-22
dongdae_urgent,동대 긴급,91,https://gall.dcinside.com/board/view/?id=dongguk&no=128283&page=1,2025-05-22
feminism,페미니즘,75,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=686&page=1,2025-05-22
seoul national,서울대학교,142,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232135&page=1,2025-05-22
korea,고려대학교,108,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143463&page=1,2025-05-22
chungang,중앙대학교,117,https://gall.dcinside.com/board/view/?id=cau&no=372500&page=1,2025-05-22
hongik,홍익대학교,111,https://gall.dcinside.com/board/view/?id=hongik&no=195828&page=1,2025-05-22
hanyang,한양대학교,106,https://gall.dcinside.com/board/view/?id=hanyang&no=202335&page=1,2025-05-22
k-arts,한국예술종합학교,86,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=537&page=1,2025-05-22
yonsei,연세대학교,94,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156687&page=1,2025-05-22
sungyunkwan,성균관대학교,152,https://gall.dcinside.com/board/view/?id=skku&no=309040&page=1,2025-05-22
kyunghee,경희대학교,109,https://gall.dcinside.com/board/view/?id=khu&no=443988&page=1,2025-05-22
sogang,서강대학교,119,https://gall.dcinside.com/board/view/?id=sogang&no=648491&page=1,2025-05-22
ewha,이화여자대학교,78,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41186&page=1,2025-05-22
seoul municipal,서울시립대학교,107,https://gall.dcinside.com/board/view/?id=uos&no=235766&page=1,2025-05-22
hufs,한국외국어대학교,102,https://gall.dcinside.com/board/view/?id=hufs&no=248682&page=1,2025-05-22
konkuk,건국대학교,108,https://gall.dcinside.com/board/view/?id=konkuk&no=205667&page=1,2025-05-22
sejong,세종대학교,136,https://gall.dcinside.com/board/view/?id=sejong&no=260392&page=1,2025-05-22
dongdeok womens,동덕여자대학교,199,https://gall.dcinside.com/board/view/?id=dongduk&no=465172&page=1,2025-05-22
sungshin womens,성신여자대학교,67,https://gall.dcinside.com/board/view/?id=sungshin&no=36802&page=1,2025-05-22
duksung,덕성여자대학교,59,https://gall.dcinside.com/board/view/?id=duksung&no=22848&page=1,2025-05-22
sookmyung womens,숙명여자대학교,75,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22530&page=1,2025-05-22
seoul women's uni,서울여자대학교,66,https://gall.dcinside.com/board/view/?id=swu&no=9263&page=1,2025-05-22
suwon womens uni,수원여자대학교,83,https://gall.dcinside.com/mini/board/view/?id=swu&no=30&page=1,2025-05-22
university students,대학생,48,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=458&page=1,2025-05-22
antifeminism,반페미니즘,31,https://gall.dcinside.com/mgallery/board/view/?id=antifeminism&no=6379&page=1,2025-05-22
